"Step","debug/lpl_local - _step","debug/lpl_local - _step__MIN","debug/lpl_local - _step__MAX","debug/lpl_local - Performance/linear_readout_acc","debug/lpl_local - Performance/linear_readout_acc__MIN","debug/lpl_local - Performance/linear_readout_acc__MAX"
"35392","2497","2497","2497","0.595","0.595","0.595"
"35471","2503","2503","2503","0.5857","0.5857","0.5857"
"35550","2509","2509","2509","0.5902","0.5902","0.5902"
"35629","2514","2514","2514","0.5924","0.5924","0.5924"
"35708","2520","2520","2520","0.5906","0.5906","0.5906"
"35787","2525","2525","2525","0.5838","0.5838","0.5838"
"35866","2531","2531","2531","0.5891","0.5891","0.5891"
"35945","2536","2536","2536","0.5891","0.5891","0.5891"
"36024","2542","2542","2542","0.5946","0.5946","0.5946"
"36103","2548","2548","2548","0.5904","0.5904","0.5904"
"36182","2553","2553","2553","0.5897","0.5897","0.5897"
"36261","2559","2559","2559","0.5964","0.5964","0.5964"
"36340","2564","2564","2564","0.5936","0.5936","0.5936"
"36419","2570","2570","2570","0.5931","0.5931","0.5931"
"36498","2575","2575","2575","0.5943","0.5943","0.5943"
"36577","2581","2581","2581","0.5949","0.5949","0.5949"
"36656","2587","2587","2587","0.5973","0.5973","0.5973"
"36735","2592","2592","2592","0.5949","0.5949","0.5949"
"36814","2598","2598","2598","0.5881","0.5881","0.5881"
